Statistic,Quarter,Garda Region,Type of Offence,UNIT,VALUE
Recorded Crime Offences Under Reservation,2006Q4,10 Dublin Metropolitan Region,Arson,Number,134
Recorded Crime Offences Under Reservation,2006Q4,10 Dublin Metropolitan Region,Criminal damage (not arson),Number,3991
Recorded Crime Offences Under Reservation,2006Q4,10 Dublin Metropolitan Region,Litter offences,Number,13
Recorded Crime Offences Under Reservation,2006Q4,10 Dublin Metropolitan Region,Public order and other social code offences,Number,4463
Recorded Crime Offences Under Reservation,2006Q4,10 Dublin Metropolitan Region,Disorderly conduct,Number,3739
Recorded Crime Offences Under Reservation,2006Q4,10 Dublin Metropolitan Region,Trespass offences,Number,322
Recorded Crime Offences Under Reservation,2006Q4,10 Dublin Metropolitan Region,Liquor licensing offences,Number,148
Recorded Crime Offences Under Reservation,2006Q4,10 Dublin Metropolitan Region,Prostitution offences,Number,11
Recorded Crime Offences Under Reservation,2006Q4,10 Dublin Metropolitan Region,"Regulated betting/money, collection/trading offences",Number,59
Recorded Crime Offences Under Reservation,2006Q4,10 Dublin Metropolitan Region,Social code offences (n.e.c.),Number,184
Recorded Crime Offences Under Reservation,2006Q4,10 Dublin Metropolitan Region,"Offences against government, justice procedures and organisation of crime",Number,1606
Recorded Crime Offences Under Reservation,2006Q4,10 Dublin Metropolitan Region,Offences against government and its agents,Number,22
Recorded Crime Offences Under Reservation,2006Q4,10 Dublin Metropolitan Region,Organisation of crime and conspiracy to commit crime,Number,1
Recorded Crime Offences Under Reservation,2006Q4,10 Dublin Metropolitan Region,Perverting the course of justice,Number,24
Recorded Crime Offences Under Reservation,2006Q4,10 Dublin Metropolitan Region,"Offences while in custody, breach of court orders",Number,1559
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Homicide offences,Number,7
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Murder,Number,2
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Manslaughter,Number,1
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Dangerous driving leading to death,Number,4
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Sexual offences,Number,67
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Rape and sexual assault,Number,62
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Other sexual offences,Number,5
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1207
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Murder-attempt,Number,1
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Threat to kill or cause serious harm,Number,1
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Harassment and related offences,Number,171
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,"Assault causing harm, poisoning",Number,270
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Other assault,Number,764
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Dangerous or negligent acts,Number,1427
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Dangerous driving causing serious bodily harm,Number,3
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,1391
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Driving/in charge of a vehicle under the influence of drugs,Number,2
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Endangerment with potential for serious harm/death,Number,5
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,"Abandoning a child, child neglect and cruelty",Number,14
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Endangering traffic offences,Number,12
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Kidnapping and related offences,Number,4
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,False imprisonment,Number,3
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Abduction of person under 16 years of age,Number,1
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,"Robbery, extortion and hijacking offences",Number,60
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Robbery of an establishment or institution,Number,30
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Robbery of cash or goods in transit,Number,4
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Robbery from the person,Number,25
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Blackmail or extortion,Number,1
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,0
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Burglary and related offences,Number,1008
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Aggravated burglary,Number,11
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Burglary (not aggravated),Number,996
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,"Possession of an article (with intent to burgle, steal, demand)",Number,1
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Theft and related offences,Number,2702
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Theft/taking of vehicle and related offences,Number,452
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Theft from person,Number,73
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Theft from shop,Number,708
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,"Other thefts, handling stolen property",Number,1469
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,"Fraud, deception and related offences",Number,204
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Controlled drug offences,Number,362
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Importation of drugs,Number,0
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Cultivation or manufacture of drugs,Number,3
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Possession of drugs for sale or supply,Number,58
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Possession of drugs for personal use,Number,296
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Other drug offences,Number,5
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Weapons and Explosives Offences,Number,159
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,"Explosives, chemical weapons offences",Number,59
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Discharging a firearm,Number,5
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Possession of a firearm,Number,18
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Offensive weapons offences (n.e.c.),Number,60
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Fireworks offences,Number,17
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Damage to property and to the environment,Number,2048
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Arson,Number,89
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Criminal damage (not arson),Number,1949
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Litter offences,Number,10
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Public order and other social code offences,Number,3091
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Disorderly conduct,Number,2784
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Trespass offences,Number,69
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Liquor licensing offences,Number,208
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Prostitution offences,Number,0
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,"Regulated betting/money, collection/trading offences",Number,17
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Social code offences (n.e.c.),Number,13
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,"Offences against government, justice procedures and organisation of crime",Number,231
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Offences against government and its agents,Number,19
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Organisation of crime and conspiracy to commit crime,Number,1
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,Perverting the course of justice,Number,13
Recorded Crime Offences Under Reservation,2006Q4,20 North Western Region,"Offences while in custody, breach of court orders",Number,198
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Homicide offences,Number,9
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Murder,Number,4
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Manslaughter,Number,0
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Dangerous driving leading to death,Number,5
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Sexual offences,Number,70
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Rape and sexual assault,Number,70
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Other sexual offences,Number,0
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,963
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Murder-attempt,Number,0
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Threat to kill or cause serious harm,Number,3
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Harassment and related offences,Number,120
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,"Assault causing harm, poisoning",Number,215
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Other assault,Number,625
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Dangerous or negligent acts,Number,1406
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Dangerous driving causing serious bodily harm,Number,1
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,1355
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Driving/in charge of a vehicle under the influence of drugs,Number,21
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Endangerment with potential for serious harm/death,Number,1
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,"Abandoning a child, child neglect and cruelty",Number,20
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Endangering traffic offences,Number,8
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Kidnapping and related offences,Number,3
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,False imprisonment,Number,3
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Abduction of person under 16 years of age,Number,0
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,"Robbery, extortion and hijacking offences",Number,103
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Robbery of an establishment or institution,Number,62
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Robbery of cash or goods in transit,Number,1
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Robbery from the person,Number,37
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Blackmail or extortion,Number,0
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,3
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Burglary and related offences,Number,1794
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Aggravated burglary,Number,18
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Burglary (not aggravated),Number,1773
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,"Possession of an article (with intent to burgle, steal, demand)",Number,3
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Theft and related offences,Number,3446
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Theft/taking of vehicle and related offences,Number,573
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Theft from person,Number,128
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Theft from shop,Number,867
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,"Other thefts, handling stolen property",Number,1878
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,"Fraud, deception and related offences",Number,184
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Controlled drug offences,Number,983
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Importation of drugs,Number,1
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Cultivation or manufacture of drugs,Number,8
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Possession of drugs for sale or supply,Number,149
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Possession of drugs for personal use,Number,794
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Other drug offences,Number,31
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Weapons and Explosives Offences,Number,189
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,"Explosives, chemical weapons offences",Number,36
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Discharging a firearm,Number,10
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Possession of a firearm,Number,32
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Offensive weapons offences (n.e.c.),Number,101
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Fireworks offences,Number,10
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Damage to property and to the environment,Number,2357
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Arson,Number,89
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Criminal damage (not arson),Number,2260
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Litter offences,Number,8
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Public order and other social code offences,Number,3131
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Disorderly conduct,Number,2665
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Trespass offences,Number,119
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Liquor licensing offences,Number,311
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Prostitution offences,Number,4
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,"Regulated betting/money, collection/trading offences",Number,13
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Social code offences (n.e.c.),Number,19
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,"Offences against government, justice procedures and organisation of crime",Number,342
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Offences against government and its agents,Number,10
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Organisation of crime and conspiracy to commit crime,Number,0
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,Perverting the course of justice,Number,14
Recorded Crime Offences Under Reservation,2006Q4,30 Eastern Region,"Offences while in custody, breach of court orders",Number,318
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Homicide offences,Number,7
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Murder,Number,4
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Manslaughter,Number,1
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Dangerous driving leading to death,Number,2
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Sexual offences,Number,76
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Rape and sexual assault,Number,74
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Other sexual offences,Number,2
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1022
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Murder-attempt,Number,0
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Threat to kill or cause serious harm,Number,11
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Harassment and related offences,Number,141
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,"Assault causing harm, poisoning",Number,246
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Other assault,Number,624
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Dangerous or negligent acts,Number,1486
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Dangerous driving causing serious bodily harm,Number,0
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,1457
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Driving/in charge of a vehicle under the influence of drugs,Number,6
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Endangerment with potential for serious harm/death,Number,1
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,"Abandoning a child, child neglect and cruelty",Number,12
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,False alarm/interference with aircraft or air transport facilities,Number,1
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Endangering traffic offences,Number,9
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Kidnapping and related offences,Number,7
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,False imprisonment,Number,6
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Abduction of person under 16 years of age,Number,1
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,"Robbery, extortion and hijacking offences",Number,70
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Robbery of an establishment or institution,Number,29
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Robbery of cash or goods in transit,Number,0
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Robbery from the person,Number,40
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Blackmail or extortion,Number,1
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,0
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Burglary and related offences,Number,1006
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Aggravated burglary,Number,8
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Burglary (not aggravated),Number,997
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,"Possession of an article (with intent to burgle, steal, demand)",Number,1
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Theft and related offences,Number,3578
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Theft/taking of vehicle and related offences,Number,592
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Theft from person,Number,159
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Theft from shop,Number,1027
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,"Other thefts, handling stolen property",Number,1800
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,"Fraud, deception and related offences",Number,168
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Controlled drug offences,Number,1039
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Importation of drugs,Number,0
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Cultivation or manufacture of drugs,Number,3
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Possession of drugs for sale or supply,Number,201
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Possession of drugs for personal use,Number,804
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Other drug offences,Number,31
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Weapons and Explosives Offences,Number,235
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,"Explosives, chemical weapons offences",Number,26
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Discharging a firearm,Number,34
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Possession of a firearm,Number,30
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Offensive weapons offences (n.e.c.),Number,143
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Fireworks offences,Number,2
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Damage to property and to the environment,Number,2495
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Arson,Number,147
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Criminal damage (not arson),Number,2335
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Litter offences,Number,13
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Public order and other social code offences,Number,4510
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Disorderly conduct,Number,3661
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Trespass offences,Number,97
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Liquor licensing offences,Number,707
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Prostitution offences,Number,8
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,"Regulated betting/money, collection/trading offences",Number,15
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Social code offences (n.e.c.),Number,22
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,"Offences against government, justice procedures and organisation of crime",Number,405
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Offences against government and its agents,Number,30
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Organisation of crime and conspiracy to commit crime,Number,0
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,Perverting the course of justice,Number,5
Recorded Crime Offences Under Reservation,2006Q4,40 Southern Region,"Offences while in custody, breach of court orders",Number,370
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Homicide offences,Number,10
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Murder,Number,7
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Manslaughter,Number,0
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Dangerous driving leading to death,Number,3
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Sexual offences,Number,109
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Rape and sexual assault,Number,97
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Other sexual offences,Number,12
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,"Attempts/threats to murder, assaults, harassments and related offences",Number,1132
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Murder-attempt,Number,1
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Threat to kill or cause serious harm,Number,22
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Harassment and related offences,Number,146
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,"Assault causing harm, poisoning",Number,294
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Other assault,Number,669
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Dangerous or negligent acts,Number,1152
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Dangerous driving causing serious bodily harm,Number,0
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Driving/in charge of a vehicle while over legal alcohol limit,Number,1092
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Driving/in charge of a vehicle under the influence of drugs,Number,7
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Endangerment with potential for serious harm/death,Number,4
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,"Abandoning a child, child neglect and cruelty",Number,27
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,False alarm/interference with aircraft or air transport facilities,Number,2
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Endangering traffic offences,Number,20
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Kidnapping and related offences,Number,6
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,False imprisonment,Number,6
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Abduction of person under 16 years of age,Number,0
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,"Robbery, extortion and hijacking offences",Number,319
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Robbery of an establishment or institution,Number,120
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Robbery of cash or goods in transit,Number,4
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Robbery from the person,Number,185
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Blackmail or extortion,Number,2
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,8
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Burglary and related offences,Number,2211
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Aggravated burglary,Number,35
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Burglary (not aggravated),Number,2124
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,"Possession of an article (with intent to burgle, steal, demand)",Number,52
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Theft and related offences,Number,7839
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Theft/taking of vehicle and related offences,Number,1726
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Theft from person,Number,390
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Theft from shop,Number,1912
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,"Other thefts, handling stolen property",Number,3811
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,"Fraud, deception and related offences",Number,687
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Controlled drug offences,Number,1635
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Importation of drugs,Number,13
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Cultivation or manufacture of drugs,Number,2
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Possession of drugs for sale or supply,Number,468
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Possession of drugs for personal use,Number,1063
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Other drug offences,Number,89
Recorded Crime Offences Under Reservation,2007Q1,10 Dublin Metropolitan Region,Weapons and Explosives Offences,Number,293
