Statistic,Year,Area of Residence,Age Group of Mother,UNIT,VALUE
Births,2013,Meath,Under 20 years,Number,44
Births,2013,Meath,20 - 24 years,Number,239
Births,2013,Meath,25 - 29 years,Number,595
Births,2013,Meath,30 - 34 years,Number,1277
Births,2013,Meath,35 - 39 years,Number,842
Births,2013,Meath,40 - 44 years,Number,173
Births,2013,Meath,45 years and over,Number,10
Births,2013,Meath,Age not stated,Number,
Births,2013,Meath,All ages,Number,3180
Births,2013,Kells Town,Under 20 years,Number,5
Births,2013,Kells Town,20 - 24 years,Number,20
Births,2013,Kells Town,25 - 29 years,Number,26
Births,2013,Kells Town,30 - 34 years,Number,42
Births,2013,Kells Town,35 - 39 years,Number,18
Births,2013,Kells Town,40 - 44 years,Number,4
Births,2013,Kells Town,45 years and over,Number,3
Births,2013,Kells Town,Age not stated,Number,
Births,2013,Kells Town,All ages,Number,118
Births,2013,Navan Town,Under 20 years,Number,16
Births,2013,Navan Town,20 - 24 years,Number,61
Births,2013,Navan Town,25 - 29 years,Number,152
Births,2013,Navan Town,30 - 34 years,Number,234
Births,2013,Navan Town,35 - 39 years,Number,154
Births,2013,Navan Town,40 - 44 years,Number,32
Births,2013,Navan Town,45 years and over,Number,
Births,2013,Navan Town,Age not stated,Number,
Births,2013,Navan Town,All ages,Number,649
Births,2013,Trim Town,Under 20 years,Number,1
Births,2013,Trim Town,20 - 24 years,Number,10
Births,2013,Trim Town,25 - 29 years,Number,14
Births,2013,Trim Town,30 - 34 years,Number,32
Births,2013,Trim Town,35 - 39 years,Number,18
Births,2013,Trim Town,40 - 44 years,Number,3
Births,2013,Trim Town,45 years and over,Number,
Births,2013,Trim Town,Age not stated,Number,
Births,2013,Trim Town,All ages,Number,78
Births,2013,Rest of Co. Meath,Under 20 years,Number,22
Births,2013,Rest of Co. Meath,20 - 24 years,Number,148
Births,2013,Rest of Co. Meath,25 - 29 years,Number,403
Births,2013,Rest of Co. Meath,30 - 34 years,Number,969
Births,2013,Rest of Co. Meath,35 - 39 years,Number,652
Births,2013,Rest of Co. Meath,40 - 44 years,Number,134
Births,2013,Rest of Co. Meath,45 years and over,Number,7
Births,2013,Rest of Co. Meath,Age not stated,Number,
Births,2013,Rest of Co. Meath,All ages,Number,2335
Births,2013,Offaly,Under 20 years,Number,35
Births,2013,Offaly,20 - 24 years,Number,125
Births,2013,Offaly,25 - 29 years,Number,231
Births,2013,Offaly,30 - 34 years,Number,391
Births,2013,Offaly,35 - 39 years,Number,225
Births,2013,Offaly,40 - 44 years,Number,59
Births,2013,Offaly,45 years and over,Number,5
Births,2013,Offaly,Age not stated,Number,
Births,2013,Offaly,All ages,Number,1071
Births,2013,Birr Town,Under 20 years,Number,2
Births,2013,Birr Town,20 - 24 years,Number,14
Births,2013,Birr Town,25 - 29 years,Number,9
Births,2013,Birr Town,30 - 34 years,Number,24
Births,2013,Birr Town,35 - 39 years,Number,11
Births,2013,Birr Town,40 - 44 years,Number,2
Births,2013,Birr Town,45 years and over,Number,
Births,2013,Birr Town,Age not stated,Number,
Births,2013,Birr Town,All ages,Number,62
Births,2013,Tullamore Town,Under 20 years,Number,13
Births,2013,Tullamore Town,20 - 24 years,Number,21
Births,2013,Tullamore Town,25 - 29 years,Number,55
Births,2013,Tullamore Town,30 - 34 years,Number,59
Births,2013,Tullamore Town,35 - 39 years,Number,29
Births,2013,Tullamore Town,40 - 44 years,Number,6
Births,2013,Tullamore Town,45 years and over,Number,
Births,2013,Tullamore Town,Age not stated,Number,
Births,2013,Tullamore Town,All ages,Number,183
Births,2013,Edenderry,Under 20 years,Number,9
Births,2013,Edenderry,20 - 24 years,Number,22
Births,2013,Edenderry,25 - 29 years,Number,32
Births,2013,Edenderry,30 - 34 years,Number,52
Births,2013,Edenderry,35 - 39 years,Number,25
Births,2013,Edenderry,40 - 44 years,Number,8
Births,2013,Edenderry,45 years and over,Number,1
Births,2013,Edenderry,Age not stated,Number,
Births,2013,Edenderry,All ages,Number,149
Births,2013,Rest of Co. Offaly,Under 20 years,Number,11
Births,2013,Rest of Co. Offaly,20 - 24 years,Number,68
Births,2013,Rest of Co. Offaly,25 - 29 years,Number,135
Births,2013,Rest of Co. Offaly,30 - 34 years,Number,256
Births,2013,Rest of Co. Offaly,35 - 39 years,Number,160
Births,2013,Rest of Co. Offaly,40 - 44 years,Number,43
Births,2013,Rest of Co. Offaly,45 years and over,Number,4
Births,2013,Rest of Co. Offaly,Age not stated,Number,
Births,2013,Rest of Co. Offaly,All ages,Number,677
Births,2013,Westmeath,Under 20 years,Number,39
Births,2013,Westmeath,20 - 24 years,Number,160
Births,2013,Westmeath,25 - 29 years,Number,297
Births,2013,Westmeath,30 - 34 years,Number,478
Births,2013,Westmeath,35 - 39 years,Number,298
Births,2013,Westmeath,40 - 44 years,Number,65
Births,2013,Westmeath,45 years and over,Number,1
Births,2013,Westmeath,Age not stated,Number,
Births,2013,Westmeath,All ages,Number,1338
Births,2013,Athlone Town,Under 20 years,Number,8
Births,2013,Athlone Town,20 - 24 years,Number,30
Births,2013,Athlone Town,25 - 29 years,Number,73
Births,2013,Athlone Town,30 - 34 years,Number,86
Births,2013,Athlone Town,35 - 39 years,Number,53
Births,2013,Athlone Town,40 - 44 years,Number,4
Births,2013,Athlone Town,45 years and over,Number,1
Births,2013,Athlone Town,Age not stated,Number,
Births,2013,Athlone Town,All ages,Number,255
Births,2013,Mullingar,Under 20 years,Number,13
Births,2013,Mullingar,20 - 24 years,Number,51
Births,2013,Mullingar,25 - 29 years,Number,70
Births,2013,Mullingar,30 - 34 years,Number,84
Births,2013,Mullingar,35 - 39 years,Number,51
Births,2013,Mullingar,40 - 44 years,Number,4
Births,2013,Mullingar,45 years and over,Number,
Births,2013,Mullingar,Age not stated,Number,
Births,2013,Mullingar,All ages,Number,273
Births,2013,Rest of Co. Westmeath,Under 20 years,Number,18
Births,2013,Rest of Co. Westmeath,20 - 24 years,Number,79
Births,2013,Rest of Co. Westmeath,25 - 29 years,Number,154
Births,2013,Rest of Co. Westmeath,30 - 34 years,Number,308
Births,2013,Rest of Co. Westmeath,35 - 39 years,Number,194
Births,2013,Rest of Co. Westmeath,40 - 44 years,Number,57
Births,2013,Rest of Co. Westmeath,45 years and over,Number,
Births,2013,Rest of Co. Westmeath,Age not stated,Number,
Births,2013,Rest of Co. Westmeath,All ages,Number,810
Births,2013,Wexford,Under 20 years,Number,65
Births,2013,Wexford,20 - 24 years,Number,261
Births,2013,Wexford,25 - 29 years,Number,482
Births,2013,Wexford,30 - 34 years,Number,724
Births,2013,Wexford,35 - 39 years,Number,425
Births,2013,Wexford,40 - 44 years,Number,96
Births,2013,Wexford,45 years and over,Number,6
Births,2013,Wexford,Age not stated,Number,
Births,2013,Wexford,All ages,Number,2059
Births,2013,Enniscorthy Town,Under 20 years,Number,3
Births,2013,Enniscorthy Town,20 - 24 years,Number,11
Births,2013,Enniscorthy Town,25 - 29 years,Number,11
Births,2013,Enniscorthy Town,30 - 34 years,Number,11
Births,2013,Enniscorthy Town,35 - 39 years,Number,1
Births,2013,Enniscorthy Town,40 - 44 years,Number,1
Births,2013,Enniscorthy Town,45 years and over,Number,
Births,2013,Enniscorthy Town,Age not stated,Number,
Births,2013,Enniscorthy Town,All ages,Number,38
Births,2013,New Ross Town,Under 20 years,Number,5
Births,2013,New Ross Town,20 - 24 years,Number,21
Births,2013,New Ross Town,25 - 29 years,Number,28
Births,2013,New Ross Town,30 - 34 years,Number,46
Births,2013,New Ross Town,35 - 39 years,Number,29
Births,2013,New Ross Town,40 - 44 years,Number,4
Births,2013,New Ross Town,45 years and over,Number,
Births,2013,New Ross Town,Age not stated,Number,
Births,2013,New Ross Town,All ages,Number,133
Births,2013,Wexford Borough,Under 20 years,Number,10
Births,2013,Wexford Borough,20 - 24 years,Number,48
Births,2013,Wexford Borough,25 - 29 years,Number,77
Births,2013,Wexford Borough,30 - 34 years,Number,98
Births,2013,Wexford Borough,35 - 39 years,Number,51
Births,2013,Wexford Borough,40 - 44 years,Number,12
Births,2013,Wexford Borough,45 years and over,Number,1
Births,2013,Wexford Borough,Age not stated,Number,
Births,2013,Wexford Borough,All ages,Number,297
Births,2013,Gorey,Under 20 years,Number,8
Births,2013,Gorey,20 - 24 years,Number,11
Births,2013,Gorey,25 - 29 years,Number,19
Births,2013,Gorey,30 - 34 years,Number,36
Births,2013,Gorey,35 - 39 years,Number,15
Births,2013,Gorey,40 - 44 years,Number,4
Births,2013,Gorey,45 years and over,Number,
Births,2013,Gorey,Age not stated,Number,
Births,2013,Gorey,All ages,Number,93
Births,2013,Rest of Co. Wexford,Under 20 years,Number,39
Births,2013,Rest of Co. Wexford,20 - 24 years,Number,170
Births,2013,Rest of Co. Wexford,25 - 29 years,Number,347
Births,2013,Rest of Co. Wexford,30 - 34 years,Number,533
Births,2013,Rest of Co. Wexford,35 - 39 years,Number,329
Births,2013,Rest of Co. Wexford,40 - 44 years,Number,75
Births,2013,Rest of Co. Wexford,45 years and over,Number,5
Births,2013,Rest of Co. Wexford,Age not stated,Number,
Births,2013,Rest of Co. Wexford,All ages,Number,1498
Births,2013,Munster,Under 20 years,Number,337
Births,2013,Munster,20 - 24 years,Number,1530
Births,2013,Munster,25 - 29 years,Number,3448
Births,2013,Munster,30 - 34 years,Number,6452
Births,2013,Munster,35 - 39 years,Number,4723
Births,2013,Munster,40 - 44 years,Number,999
Births,2013,Munster,45 years and over,Number,38
Births,2013,Munster,Age not stated,Number,
Births,2013,Munster,All ages,Number,17527
Births,2013,Waterford County,Under 20 years,Number,21
Births,2013,Waterford County,20 - 24 years,Number,80
Births,2013,Waterford County,25 - 29 years,Number,167
Births,2013,Waterford County,30 - 34 years,Number,335
Births,2013,Waterford County,35 - 39 years,Number,273
Births,2013,Waterford County,40 - 44 years,Number,49
Births,2013,Waterford County,45 years and over,Number,2
Births,2013,Waterford County,Age not stated,Number,
Births,2013,Waterford County,All ages,Number,927
Births,2013,Dungarvan Town,Under 20 years,Number,5
Births,2013,Dungarvan Town,20 - 24 years,Number,23
Births,2013,Dungarvan Town,25 - 29 years,Number,39
Births,2013,Dungarvan Town,30 - 34 years,Number,58
Births,2013,Dungarvan Town,35 - 39 years,Number,41
Births,2013,Dungarvan Town,40 - 44 years,Number,4
Births,2013,Dungarvan Town,45 years and over,Number,
Births,2013,Dungarvan Town,Age not stated,Number,
Births,2013,Dungarvan Town,All ages,Number,170
Births,2013,Lismore,Under 20 years,Number,1
Births,2013,Lismore,20 - 24 years,Number,
Births,2013,Lismore,25 - 29 years,Number,2
Births,2013,Lismore,30 - 34 years,Number,7
Births,2013,Lismore,35 - 39 years,Number,2
Births,2013,Lismore,40 - 44 years,Number,1
Births,2013,Lismore,45 years and over,Number,
Births,2013,Lismore,Age not stated,Number,
Births,2013,Lismore,All ages,Number,13
Births,2013,Tramore,Under 20 years,Number,6
Births,2013,Tramore,20 - 24 years,Number,13
Births,2013,Tramore,25 - 29 years,Number,28
Births,2013,Tramore,30 - 34 years,Number,60
Births,2013,Tramore,35 - 39 years,Number,58
Births,2013,Tramore,40 - 44 years,Number,9
Births,2013,Tramore,45 years and over,Number,1
Births,2013,Tramore,Age not stated,Number,
Births,2013,Tramore,All ages,Number,175
Births,2013,Rest of Waterford,Under 20 years,Number,9
Births,2013,Rest of Waterford,20 - 24 years,Number,44
Births,2013,Rest of Waterford,25 - 29 years,Number,98
Births,2013,Rest of Waterford,30 - 34 years,Number,210
Births,2013,Rest of Waterford,35 - 39 years,Number,172
Births,2013,Rest of Waterford,40 - 44 years,Number,35
Births,2013,Rest of Waterford,45 years and over,Number,1
Births,2013,Rest of Waterford,Age not stated,Number,
Births,2013,Rest of Waterford,All ages,Number,569
Births,2013,Waterford City,Under 20 years,Number,19
Births,2013,Waterford City,20 - 24 years,Number,93
Births,2013,Waterford City,25 - 29 years,Number,205
Births,2013,Waterford City,30 - 34 years,Number,274
Births,2013,Waterford City,35 - 39 years,Number,173
Births,2013,Waterford City,40 - 44 years,Number,28
Births,2013,Waterford City,45 years and over,Number,3
Births,2013,Waterford City,Age not stated,Number,
Births,2013,Waterford City,All ages,Number,795
Births,2013,Clare,Under 20 years,Number,33
Births,2013,Clare,20 - 24 years,Number,138
Births,2013,Clare,25 - 29 years,Number,254
Births,2013,Clare,30 - 34 years,Number,561
Births,2013,Clare,35 - 39 years,Number,406
Births,2013,Clare,40 - 44 years,Number,94
Births,2013,Clare,45 years and over,Number,6
Births,2013,Clare,Age not stated,Number,
Births,2013,Clare,All ages,Number,1492
Births,2013,Ennis Town,Under 20 years,Number,13
Births,2013,Ennis Town,20 - 24 years,Number,41
Births,2013,Ennis Town,25 - 29 years,Number,70
Births,2013,Ennis Town,30 - 34 years,Number,120
Births,2013,Ennis Town,35 - 39 years,Number,80
Births,2013,Ennis Town,40 - 44 years,Number,19
Births,2013,Ennis Town,45 years and over,Number,1
Births,2013,Ennis Town,Age not stated,Number,
Births,2013,Ennis Town,All ages,Number,344
Births,2013,Kilrush Town,Under 20 years,Number,5
Births,2013,Kilrush Town,20 - 24 years,Number,7
Births,2013,Kilrush Town,25 - 29 years,Number,8
Births,2013,Kilrush Town,30 - 34 years,Number,20
Births,2013,Kilrush Town,35 - 39 years,Number,11
Births,2013,Kilrush Town,40 - 44 years,Number,3
Births,2013,Kilrush Town,45 years and over,Number,
Births,2013,Kilrush Town,Age not stated,Number,
Births,2013,Kilrush Town,All ages,Number,54
Births,2013,Shannon,Under 20 years,Number,2
Births,2013,Shannon,20 - 24 years,Number,21
Births,2013,Shannon,25 - 29 years,Number,28
Births,2013,Shannon,30 - 34 years,Number,51
Births,2013,Shannon,35 - 39 years,Number,20
Births,2013,Shannon,40 - 44 years,Number,5
Births,2013,Shannon,45 years and over,Number,
Births,2013,Shannon,Age not stated,Number,
Births,2013,Shannon,All ages,Number,127
Births,2013,Kilkee,Under 20 years,Number,1
Births,2013,Kilkee,20 - 24 years,Number,2
Births,2013,Kilkee,25 - 29 years,Number,4
Births,2013,Kilkee,30 - 34 years,Number,3
Births,2013,Kilkee,35 - 39 years,Number,
Births,2013,Kilkee,40 - 44 years,Number,1
Births,2013,Kilkee,45 years and over,Number,
Births,2013,Kilkee,Age not stated,Number,
Births,2013,Kilkee,All ages,Number,11
Births,2013,Rest of Co. Clare,Under 20 years,Number,12
Births,2013,Rest of Co. Clare,20 - 24 years,Number,67
Births,2013,Rest of Co. Clare,25 - 29 years,Number,144
Births,2013,Rest of Co. Clare,30 - 34 years,Number,367
Births,2013,Rest of Co. Clare,35 - 39 years,Number,295
Births,2013,Rest of Co. Clare,40 - 44 years,Number,66
Births,2013,Rest of Co. Clare,45 years and over,Number,5
Births,2013,Rest of Co. Clare,Age not stated,Number,
Births,2013,Rest of Co. Clare,All ages,Number,956
Births,2013,Cork City,Under 20 years,Number,50
Births,2013,Cork City,20 - 24 years,Number,202
Births,2013,Cork City,25 - 29 years,Number,373
Births,2013,Cork City,30 - 34 years,Number,460
Births,2013,Cork City,35 - 39 years,Number,337
Births,2013,Cork City,40 - 44 years,Number,64
Births,2013,Cork City,45 years and over,Number,2
Births,2013,Cork City,Age not stated,Number,
Births,2013,Cork City,All ages,Number,1488
Births,2013,Cork County,Under 20 years,Number,67
Births,2013,Cork County,20 - 24 years,Number,393
Births,2013,Cork County,25 - 29 years,Number,1080
Births,2013,Cork County,30 - 34 years,Number,2440
Births,2013,Cork County,35 - 39 years,Number,1929
Births,2013,Cork County,40 - 44 years,Number,384
Births,2013,Cork County,45 years and over,Number,14
Births,2013,Cork County,Age not stated,Number,
Births,2013,Cork County,All ages,Number,6307
Births,2013,Cobh Town,Under 20 years,Number,4
Births,2013,Cobh Town,20 - 24 years,Number,14
Births,2013,Cobh Town,25 - 29 years,Number,29
Births,2013,Cobh Town,30 - 34 years,Number,35
Births,2013,Cobh Town,35 - 39 years,Number,20
Births,2013,Cobh Town,40 - 44 years,Number,10
Births,2013,Cobh Town,45 years and over,Number,1
Births,2013,Cobh Town,Age not stated,Number,
Births,2013,Cobh Town,All ages,Number,113
Births,2013,Fermoy Town,Under 20 years,Number,4
Births,2013,Fermoy Town,20 - 24 years,Number,9
Births,2013,Fermoy Town,25 - 29 years,Number,17
Births,2013,Fermoy Town,30 - 34 years,Number,13
Births,2013,Fermoy Town,35 - 39 years,Number,22
Births,2013,Fermoy Town,40 - 44 years,Number,4
Births,2013,Fermoy Town,45 years and over,Number,
Births,2013,Fermoy Town,Age not stated,Number,
Births,2013,Fermoy Town,All ages,Number,69
Births,2013,Kinsale Town,Under 20 years,Number,
Births,2013,Kinsale Town,20 - 24 years,Number,1
Births,2013,Kinsale Town,25 - 29 years,Number,7
Births,2013,Kinsale Town,30 - 34 years,Number,13
Births,2013,Kinsale Town,35 - 39 years,Number,17
Births,2013,Kinsale Town,40 - 44 years,Number,1
Births,2013,Kinsale Town,45 years and over,Number,
Births,2013,Kinsale Town,Age not stated,Number,
Births,2013,Kinsale Town,All ages,Number,39
Births,2013,Midleton Town,Under 20 years,Number,1
Births,2013,Midleton Town,20 - 24 years,Number,19
Births,2013,Midleton Town,25 - 29 years,Number,28
Births,2013,Midleton Town,30 - 34 years,Number,25
Births,2013,Midleton Town,35 - 39 years,Number,20
Births,2013,Midleton Town,40 - 44 years,Number,2
Births,2013,Midleton Town,45 years and over,Number,
Births,2013,Midleton Town,Age not stated,Number,
Births,2013,Midleton Town,All ages,Number,95
Births,2013,Youghal Town,Under 20 years,Number,3
Births,2013,Youghal Town,20 - 24 years,Number,12
Births,2013,Youghal Town,25 - 29 years,Number,26
Births,2013,Youghal Town,30 - 34 years,Number,36
Births,2013,Youghal Town,35 - 39 years,Number,27
Births,2013,Youghal Town,40 - 44 years,Number,4
Births,2013,Youghal Town,45 years and over,Number,
Births,2013,Youghal Town,Age not stated,Number,
Births,2013,Youghal Town,All ages,Number,108
Births,2013,Clonakilty Town,Under 20 years,Number,2
Births,2013,Clonakilty Town,20 - 24 years,Number,7
Births,2013,Clonakilty Town,25 - 29 years,Number,15
Births,2013,Clonakilty Town,30 - 34 years,Number,30
Births,2013,Clonakilty Town,35 - 39 years,Number,24
Births,2013,Clonakilty Town,40 - 44 years,Number,3
Births,2013,Clonakilty Town,45 years and over,Number,1
Births,2013,Clonakilty Town,Age not stated,Number,
Births,2013,Clonakilty Town,All ages,Number,82
Births,2013,Skibbereen Town,Under 20 years,Number,1
Births,2013,Skibbereen Town,20 - 24 years,Number,11
Births,2013,Skibbereen Town,25 - 29 years,Number,11
Births,2013,Skibbereen Town,30 - 34 years,Number,14
Births,2013,Skibbereen Town,35 - 39 years,Number,9
Births,2013,Skibbereen Town,40 - 44 years,Number,3
Births,2013,Skibbereen Town,45 years and over,Number,
Births,2013,Skibbereen Town,Age not stated,Number,
Births,2013,Skibbereen Town,All ages,Number,49
Births,2013,Macroom Town,Under 20 years,Number,2
Births,2013,Macroom Town,20 - 24 years,Number,8
Births,2013,Macroom Town,25 - 29 years,Number,19
Births,2013,Macroom Town,30 - 34 years,Number,26
Births,2013,Macroom Town,35 - 39 years,Number,18
Births,2013,Macroom Town,40 - 44 years,Number,
Births,2013,Macroom Town,45 years and over,Number,
Births,2013,Macroom Town,Age not stated,Number,
Births,2013,Macroom Town,All ages,Number,73
Births,2013,Mallow Town,Under 20 years,Number,5
Births,2013,Mallow Town,20 - 24 years,Number,17
Births,2013,Mallow Town,25 - 29 years,Number,28
Births,2013,Mallow Town,30 - 34 years,Number,67
Births,2013,Mallow Town,35 - 39 years,Number,35
Births,2013,Mallow Town,40 - 44 years,Number,7
Births,2013,Mallow Town,45 years and over,Number,
Births,2013,Mallow Town,Age not stated,Number,
Births,2013,Mallow Town,All ages,Number,159
Births,2013,Rest of Co. Cork,Under 20 years,Number,42
Births,2013,Rest of Co. Cork,20 - 24 years,Number,282
Births,2013,Rest of Co. Cork,25 - 29 years,Number,859
Births,2013,Rest of Co. Cork,30 - 34 years,Number,2110
Births,2013,Rest of Co. Cork,35 - 39 years,Number,1685
Births,2013,Rest of Co. Cork,40 - 44 years,Number,337
Births,2013,Rest of Co. Cork,45 years and over,Number,11
Births,2013,Rest of Co. Cork,Age not stated,Number,
Births,2013,Rest of Co. Cork,All ages,Number,5326
Births,2013,Passage West,Under 20 years,Number,1
Births,2013,Passage West,20 - 24 years,Number,5
Births,2013,Passage West,25 - 29 years,Number,12
Births,2013,Passage West,30 - 34 years,Number,24
Births,2013,Passage West,35 - 39 years,Number,21
Births,2013,Passage West,40 - 44 years,Number,8
Births,2013,Passage West,45 years and over,Number,1
Births,2013,Passage West,Age not stated,Number,
Births,2013,Passage West,All ages,Number,72
Births,2013,Bandon,Under 20 years,Number,2
Births,2013,Bandon,20 - 24 years,Number,3
Births,2013,Bandon,25 - 29 years,Number,15
Births,2013,Bandon,30 - 34 years,Number,27
Births,2013,Bandon,35 - 39 years,Number,16
Births,2013,Bandon,40 - 44 years,Number,2
Births,2013,Bandon,45 years and over,Number,
Births,2013,Bandon,Age not stated,Number,
Births,2013,Bandon,All ages,Number,65
Births,2013,Bantry,Under 20 years,Number,
Births,2013,Bantry,20 - 24 years,Number,5
Births,2013,Bantry,25 - 29 years,Number,14
Births,2013,Bantry,30 - 34 years,Number,20
Births,2013,Bantry,35 - 39 years,Number,15
Births,2013,Bantry,40 - 44 years,Number,3
Births,2013,Bantry,45 years and over,Number,
Births,2013,Bantry,Age not stated,Number,
Births,2013,Bantry,All ages,Number,57
Births,2013,Kerry,Under 20 years,Number,27
Births,2013,Kerry,20 - 24 years,Number,141
Births,2013,Kerry,25 - 29 years,Number,347
Births,2013,Kerry,30 - 34 years,Number,663
Births,2013,Kerry,35 - 39 years,Number,466
Births,2013,Kerry,40 - 44 years,Number,123
Births,2013,Kerry,45 years and over,Number,3
Births,2013,Kerry,Age not stated,Number,
Births,2013,Kerry,All ages,Number,1770
Births,2013,Killarney Town,Under 20 years,Number,3
Births,2013,Killarney Town,20 - 24 years,Number,26
Births,2013,Killarney Town,25 - 29 years,Number,64
Births,2013,Killarney Town,30 - 34 years,Number,73
Births,2013,Killarney Town,35 - 39 years,Number,41
Births,2013,Killarney Town,40 - 44 years,Number,12
Births,2013,Killarney Town,45 years and over,Number,1
Births,2013,Killarney Town,Age not stated,Number,
Births,2013,Killarney Town,All ages,Number,220
Births,2013,Listowel Town,Under 20 years,Number,2
Births,2013,Listowel Town,20 - 24 years,Number,9
Births,2013,Listowel Town,25 - 29 years,Number,17
Births,2013,Listowel Town,30 - 34 years,Number,16
Births,2013,Listowel Town,35 - 39 years,Number,13
Births,2013,Listowel Town,40 - 44 years,Number,3
Births,2013,Listowel Town,45 years and over,Number,
Births,2013,Listowel Town,Age not stated,Number,
Births,2013,Listowel Town,All ages,Number,60
Births,2013,Tralee Town,Under 20 years,Number,11
Births,2013,Tralee Town,20 - 24 years,Number,39
Births,2013,Tralee Town,25 - 29 years,Number,69
Births,2013,Tralee Town,30 - 34 years,Number,105
Births,2013,Tralee Town,35 - 39 years,Number,63
Births,2013,Tralee Town,40 - 44 years,Number,21
Births,2013,Tralee Town,45 years and over,Number,
Births,2013,Tralee Town,Age not stated,Number,
Births,2013,Tralee Town,All ages,Number,308
Births,2013,Rest of Co. Kerry,Under 20 years,Number,11
Births,2013,Rest of Co. Kerry,20 - 24 years,Number,67
Births,2013,Rest of Co. Kerry,25 - 29 years,Number,197
Births,2013,Rest of Co. Kerry,30 - 34 years,Number,469
Births,2013,Rest of Co. Kerry,35 - 39 years,Number,349
Births,2013,Rest of Co. Kerry,40 - 44 years,Number,87
Births,2013,Rest of Co. Kerry,45 years and over,Number,2
Births,2013,Rest of Co. Kerry,Age not stated,Number,
Births,2013,Rest of Co. Kerry,All ages,Number,1182
Births,2013,Limerick City,Under 20 years,Number,45
Births,2013,Limerick City,20 - 24 years,Number,127
Births,2013,Limerick City,25 - 29 years,Number,230
Births,2013,Limerick City,30 - 34 years,Number,277
Births,2013,Limerick City,35 - 39 years,Number,135
Births,2013,Limerick City,40 - 44 years,Number,29
Births,2013,Limerick City,45 years and over,Number,
Births,2013,Limerick City,Age not stated,Number,
Births,2013,Limerick City,All ages,Number,843
Births,2013,Limerick County,Under 20 years,Number,26
Births,2013,Limerick County,20 - 24 years,Number,155
Births,2013,Limerick County,25 - 29 years,Number,376
Births,2013,Limerick County,30 - 34 years,Number,710
Births,2013,Limerick County,35 - 39 years,Number,532
Births,2013,Limerick County,40 - 44 years,Number,109
Births,2013,Limerick County,45 years and over,Number,4
Births,2013,Limerick County,Age not stated,Number,
Births,2013,Limerick County,All ages,Number,1912
Births,2013,North Tipperary,Under 20 years,Number,24
Births,2013,North Tipperary,20 - 24 years,Number,102
Births,2013,North Tipperary,25 - 29 years,Number,206
Births,2013,North Tipperary,30 - 34 years,Number,377
Births,2013,North Tipperary,35 - 39 years,Number,271
Births,2013,North Tipperary,40 - 44 years,Number,73
Births,2013,North Tipperary,45 years and over,Number,1
Births,2013,North Tipperary,Age not stated,Number,
Births,2013,North Tipperary,All ages,Number,1054
Births,2013,Nenagh Town,Under 20 years,Number,6
Births,2013,Nenagh Town,20 - 24 years,Number,22
Births,2013,Nenagh Town,25 - 29 years,Number,56
Births,2013,Nenagh Town,30 - 34 years,Number,63
Births,2013,Nenagh Town,35 - 39 years,Number,35
Births,2013,Nenagh Town,40 - 44 years,Number,9
Births,2013,Nenagh Town,45 years and over,Number,1
Births,2013,Nenagh Town,Age not stated,Number,
Births,2013,Nenagh Town,All ages,Number,192
Births,2013,Templemore Town,Under 20 years,Number,2
Births,2013,Templemore Town,20 - 24 years,Number,3
Births,2013,Templemore Town,25 - 29 years,Number,8
Births,2013,Templemore Town,30 - 34 years,Number,15
Births,2013,Templemore Town,35 - 39 years,Number,9
Births,2013,Templemore Town,40 - 44 years,Number,4
Births,2013,Templemore Town,45 years and over,Number,
Births,2013,Templemore Town,Age not stated,Number,
Births,2013,Templemore Town,All ages,Number,41
Births,2013,Thurles Town,Under 20 years,Number,2
Births,2013,Thurles Town,20 - 24 years,Number,19
Births,2013,Thurles Town,25 - 29 years,Number,27
Births,2013,Thurles Town,30 - 34 years,Number,19
Births,2013,Thurles Town,35 - 39 years,Number,15
Births,2013,Thurles Town,40 - 44 years,Number,3
Births,2013,Thurles Town,45 years and over,Number,
Births,2013,Thurles Town,Age not stated,Number,
Births,2013,Thurles Town,All ages,Number,85
Births,2013,Rest of North Tipperary,Under 20 years,Number,14
Births,2013,Rest of North Tipperary,20 - 24 years,Number,58
Births,2013,Rest of North Tipperary,25 - 29 years,Number,115
Births,2013,Rest of North Tipperary,30 - 34 years,Number,280
Births,2013,Rest of North Tipperary,35 - 39 years,Number,212
Births,2013,Rest of North Tipperary,40 - 44 years,Number,57
Births,2013,Rest of North Tipperary,45 years and over,Number,
Births,2013,Rest of North Tipperary,Age not stated,Number,
Births,2013,Rest of North Tipperary,All ages,Number,736
Births,2013,South Tipperary,Under 20 years,Number,28
Births,2013,South Tipperary,20 - 24 years,Number,130
Births,2013,South Tipperary,25 - 29 years,Number,288
Births,2013,South Tipperary,30 - 34 years,Number,448
Births,2013,South Tipperary,35 - 39 years,Number,257
Births,2013,South Tipperary,40 - 44 years,Number,61
Births,2013,South Tipperary,45 years and over,Number,4
Births,2013,South Tipperary,Age not stated,Number,
Births,2013,South Tipperary,All ages,Number,1216
Births,2013,Carrick-on-Suir Town,Under 20 years,Number,2
Births,2013,Carrick-on-Suir Town,20 - 24 years,Number,13
Births,2013,Carrick-on-Suir Town,25 - 29 years,Number,29
Births,2013,Carrick-on-Suir Town,30 - 34 years,Number,19
Births,2013,Carrick-on-Suir Town,35 - 39 years,Number,14
Births,2013,Carrick-on-Suir Town,40 - 44 years,Number,2
Births,2013,Carrick-on-Suir Town,45 years and over,Number,1
