Statistic,Year,Area of Residence,Age Group of Mother,UNIT,VALUE
Births,2008,Naas Town,25 - 29 years,Number,138
Births,2008,Naas Town,30 - 34 years,Number,164
Births,2008,Naas Town,35 - 39 years,Number,140
Births,2008,Naas Town,40 - 44 years,Number,28
Births,2008,Naas Town,45 years and over,Number,3
Births,2008,Naas Town,Age not stated,Number,
Births,2008,Naas Town,All ages,Number,544
Births,2008,Leixlip,Under 20 years,Number,
Births,2008,Leixlip,20 - 24 years,Number,
Births,2008,Leixlip,25 - 29 years,Number,
Births,2008,Leixlip,30 - 34 years,Number,
Births,2008,Leixlip,35 - 39 years,Number,
Births,2008,Leixlip,40 - 44 years,Number,
Births,2008,Leixlip,45 years and over,Number,
Births,2008,Leixlip,Age not stated,Number,
Births,2008,Leixlip,All ages,Number,
Births,2008,Newbridge (Droichead Nua),Under 20 years,Number,
Births,2008,Newbridge (Droichead Nua),20 - 24 years,Number,
Births,2008,Newbridge (Droichead Nua),25 - 29 years,Number,
Births,2008,Newbridge (Droichead Nua),30 - 34 years,Number,
Births,2008,Newbridge (Droichead Nua),35 - 39 years,Number,
Births,2008,Newbridge (Droichead Nua),40 - 44 years,Number,
Births,2008,Newbridge (Droichead Nua),45 years and over,Number,
Births,2008,Newbridge (Droichead Nua),Age not stated,Number,
Births,2008,Newbridge (Droichead Nua),All ages,Number,
Births,2008,Rest of Co. Kildare,Under 20 years,Number,81
Births,2008,Rest of Co. Kildare,20 - 24 years,Number,327
Births,2008,Rest of Co. Kildare,25 - 29 years,Number,753
Births,2008,Rest of Co. Kildare,30 - 34 years,Number,1179
Births,2008,Rest of Co. Kildare,35 - 39 years,Number,738
Births,2008,Rest of Co. Kildare,40 - 44 years,Number,115
Births,2008,Rest of Co. Kildare,45 years and over,Number,6
Births,2008,Rest of Co. Kildare,Age not stated,Number,2
Births,2008,Rest of Co. Kildare,All ages,Number,3201
Births,2008,Kilkenny,Under 20 years,Number,42
Births,2008,Kilkenny,20 - 24 years,Number,148
Births,2008,Kilkenny,25 - 29 years,Number,312
Births,2008,Kilkenny,30 - 34 years,Number,491
Births,2008,Kilkenny,35 - 39 years,Number,348
Births,2008,Kilkenny,40 - 44 years,Number,67
Births,2008,Kilkenny,45 years and over,Number,4
Births,2008,Kilkenny,Age not stated,Number,
Births,2008,Kilkenny,All ages,Number,1412
Births,2008,Kilkenny Borough,Under 20 years,Number,13
Births,2008,Kilkenny Borough,20 - 24 years,Number,37
Births,2008,Kilkenny Borough,25 - 29 years,Number,43
Births,2008,Kilkenny Borough,30 - 34 years,Number,88
Births,2008,Kilkenny Borough,35 - 39 years,Number,35
Births,2008,Kilkenny Borough,40 - 44 years,Number,10
Births,2008,Kilkenny Borough,45 years and over,Number,1
Births,2008,Kilkenny Borough,Age not stated,Number,
Births,2008,Kilkenny Borough,All ages,Number,227
Births,2008,Rest of Co. Kilkenny,Under 20 years,Number,29
Births,2008,Rest of Co. Kilkenny,20 - 24 years,Number,111
Births,2008,Rest of Co. Kilkenny,25 - 29 years,Number,269
Births,2008,Rest of Co. Kilkenny,30 - 34 years,Number,403
Births,2008,Rest of Co. Kilkenny,35 - 39 years,Number,313
Births,2008,Rest of Co. Kilkenny,40 - 44 years,Number,57
Births,2008,Rest of Co. Kilkenny,45 years and over,Number,3
Births,2008,Rest of Co. Kilkenny,Age not stated,Number,
Births,2008,Rest of Co. Kilkenny,All ages,Number,1185
Births,2008,Laois,Under 20 years,Number,56
Births,2008,Laois,20 - 24 years,Number,189
Births,2008,Laois,25 - 29 years,Number,365
Births,2008,Laois,30 - 34 years,Number,429
Births,2008,Laois,35 - 39 years,Number,273
Births,2008,Laois,40 - 44 years,Number,48
Births,2008,Laois,45 years and over,Number,2
Births,2008,Laois,Age not stated,Number,
Births,2008,Laois,All ages,Number,1362
Births,2008,Mountmellick,Under 20 years,Number,
Births,2008,Mountmellick,20 - 24 years,Number,
Births,2008,Mountmellick,25 - 29 years,Number,
Births,2008,Mountmellick,30 - 34 years,Number,
Births,2008,Mountmellick,35 - 39 years,Number,
Births,2008,Mountmellick,40 - 44 years,Number,
Births,2008,Mountmellick,45 years and over,Number,
Births,2008,Mountmellick,Age not stated,Number,
Births,2008,Mountmellick,All ages,Number,
Births,2008,Portlaoise,Under 20 years,Number,
Births,2008,Portlaoise,20 - 24 years,Number,
Births,2008,Portlaoise,25 - 29 years,Number,
Births,2008,Portlaoise,30 - 34 years,Number,
Births,2008,Portlaoise,35 - 39 years,Number,
Births,2008,Portlaoise,40 - 44 years,Number,
Births,2008,Portlaoise,45 years and over,Number,
Births,2008,Portlaoise,Age not stated,Number,
Births,2008,Portlaoise,All ages,Number,
Births,2008,Rest of Co. Laois,Under 20 years,Number,
Births,2008,Rest of Co. Laois,20 - 24 years,Number,
Births,2008,Rest of Co. Laois,25 - 29 years,Number,
Births,2008,Rest of Co. Laois,30 - 34 years,Number,
Births,2008,Rest of Co. Laois,35 - 39 years,Number,
Births,2008,Rest of Co. Laois,40 - 44 years,Number,
Births,2008,Rest of Co. Laois,45 years and over,Number,
Births,2008,Rest of Co. Laois,Age not stated,Number,
Births,2008,Rest of Co. Laois,All ages,Number,
Births,2008,Longford,Under 20 years,Number,19
Births,2008,Longford,20 - 24 years,Number,103
Births,2008,Longford,25 - 29 years,Number,198
Births,2008,Longford,30 - 34 years,Number,237
Births,2008,Longford,35 - 39 years,Number,138
Births,2008,Longford,40 - 44 years,Number,28
Births,2008,Longford,45 years and over,Number,1
Births,2008,Longford,Age not stated,Number,1
Births,2008,Longford,All ages,Number,725
Births,2008,Longford town,Under 20 years,Number,4
Births,2008,Longford town,20 - 24 years,Number,36
Births,2008,Longford town,25 - 29 years,Number,48
Births,2008,Longford town,30 - 34 years,Number,29
Births,2008,Longford town,35 - 39 years,Number,17
Births,2008,Longford town,40 - 44 years,Number,5
Births,2008,Longford town,45 years and over,Number,
Births,2008,Longford town,Age not stated,Number,
Births,2008,Longford town,All ages,Number,139
Births,2008,Granard,Under 20 years,Number,
Births,2008,Granard,20 - 24 years,Number,
Births,2008,Granard,25 - 29 years,Number,
Births,2008,Granard,30 - 34 years,Number,
Births,2008,Granard,35 - 39 years,Number,
Births,2008,Granard,40 - 44 years,Number,
Births,2008,Granard,45 years and over,Number,
Births,2008,Granard,Age not stated,Number,
Births,2008,Granard,All ages,Number,
Births,2008,Rest of Co. Longford,Under 20 years,Number,15
Births,2008,Rest of Co. Longford,20 - 24 years,Number,67
Births,2008,Rest of Co. Longford,25 - 29 years,Number,150
Births,2008,Rest of Co. Longford,30 - 34 years,Number,208
Births,2008,Rest of Co. Longford,35 - 39 years,Number,121
Births,2008,Rest of Co. Longford,40 - 44 years,Number,23
Births,2008,Rest of Co. Longford,45 years and over,Number,1
Births,2008,Rest of Co. Longford,Age not stated,Number,1
Births,2008,Rest of Co. Longford,All ages,Number,586
Births,2008,Louth,Under 20 years,Number,85
Births,2008,Louth,20 - 24 years,Number,296
Births,2008,Louth,25 - 29 years,Number,508
Births,2008,Louth,30 - 34 years,Number,643
Births,2008,Louth,35 - 39 years,Number,391
Births,2008,Louth,40 - 44 years,Number,63
Births,2008,Louth,45 years and over,Number,2
Births,2008,Louth,Age not stated,Number,
Births,2008,Louth,All ages,Number,1988
Births,2008,Drogheda Borough,Under 20 years,Number,27
Births,2008,Drogheda Borough,20 - 24 years,Number,95
Births,2008,Drogheda Borough,25 - 29 years,Number,123
Births,2008,Drogheda Borough,30 - 34 years,Number,166
Births,2008,Drogheda Borough,35 - 39 years,Number,94
Births,2008,Drogheda Borough,40 - 44 years,Number,21
Births,2008,Drogheda Borough,45 years and over,Number,
Births,2008,Drogheda Borough,Age not stated,Number,
Births,2008,Drogheda Borough,All ages,Number,526
Births,2008,Dundalk Town,Under 20 years,Number,31
Births,2008,Dundalk Town,20 - 24 years,Number,76
Births,2008,Dundalk Town,25 - 29 years,Number,118
Births,2008,Dundalk Town,30 - 34 years,Number,130
Births,2008,Dundalk Town,35 - 39 years,Number,52
Births,2008,Dundalk Town,40 - 44 years,Number,12
Births,2008,Dundalk Town,45 years and over,Number,
Births,2008,Dundalk Town,Age not stated,Number,
Births,2008,Dundalk Town,All ages,Number,419
Births,2008,Ardee,Under 20 years,Number,
Births,2008,Ardee,20 - 24 years,Number,
Births,2008,Ardee,25 - 29 years,Number,
Births,2008,Ardee,30 - 34 years,Number,
Births,2008,Ardee,35 - 39 years,Number,
Births,2008,Ardee,40 - 44 years,Number,
Births,2008,Ardee,45 years and over,Number,
Births,2008,Ardee,Age not stated,Number,
Births,2008,Ardee,All ages,Number,
Births,2008,Rest of Co. Louth,Under 20 years,Number,27
Births,2008,Rest of Co. Louth,20 - 24 years,Number,125
Births,2008,Rest of Co. Louth,25 - 29 years,Number,267
Births,2008,Rest of Co. Louth,30 - 34 years,Number,347
Births,2008,Rest of Co. Louth,35 - 39 years,Number,245
Births,2008,Rest of Co. Louth,40 - 44 years,Number,30
Births,2008,Rest of Co. Louth,45 years and over,Number,2
Births,2008,Rest of Co. Louth,Age not stated,Number,
Births,2008,Rest of Co. Louth,All ages,Number,1043
Births,2008,Meath,Under 20 years,Number,58
Births,2008,Meath,20 - 24 years,Number,326
Births,2008,Meath,25 - 29 years,Number,870
