Statistic,Year,Age of Mother at Maternity,Previous Liveborn Children,UNIT,VALUE
Births Outside Marriage/Civil Partnership,2011,43 years,8,Number,
Births Outside Marriage/Civil Partnership,2011,43 years,9,Number,
Births Outside Marriage/Civil Partnership,2011,43 years,10 or more,Number,1
Births Outside Marriage/Civil Partnership,2011,43 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2011,44 years,Previous liveborn children,Number,37
Births Outside Marriage/Civil Partnership,2011,44 years,0,Number,7
Births Outside Marriage/Civil Partnership,2011,44 years,1,Number,9
Births Outside Marriage/Civil Partnership,2011,44 years,2,Number,9
Births Outside Marriage/Civil Partnership,2011,44 years,3,Number,4
Births Outside Marriage/Civil Partnership,2011,44 years,4,Number,5
Births Outside Marriage/Civil Partnership,2011,44 years,5,Number,2
Births Outside Marriage/Civil Partnership,2011,44 years,6,Number,
Births Outside Marriage/Civil Partnership,2011,44 years,7,Number,1
Births Outside Marriage/Civil Partnership,2011,44 years,8,Number,
Births Outside Marriage/Civil Partnership,2011,44 years,9,Number,
Births Outside Marriage/Civil Partnership,2011,44 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2011,44 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2011,15 years and under,Previous liveborn children,Number,36
Births Outside Marriage/Civil Partnership,2011,15 years and under,0,Number,34
Births Outside Marriage/Civil Partnership,2011,15 years and under,1,Number,2
Births Outside Marriage/Civil Partnership,2011,15 years and under,2,Number,
Births Outside Marriage/Civil Partnership,2011,15 years and under,3,Number,
Births Outside Marriage/Civil Partnership,2011,15 years and under,4,Number,
Births Outside Marriage/Civil Partnership,2011,15 years and under,5,Number,
Births Outside Marriage/Civil Partnership,2011,15 years and under,6,Number,
Births Outside Marriage/Civil Partnership,2011,15 years and under,7,Number,
Births Outside Marriage/Civil Partnership,2011,15 years and under,8,Number,
Births Outside Marriage/Civil Partnership,2011,15 years and under,9,Number,
Births Outside Marriage/Civil Partnership,2011,15 years and under,10 or more,Number,
Births Outside Marriage/Civil Partnership,2011,15 years and under,Not stated,Number,
Births Outside Marriage/Civil Partnership,2011,Under 20 years,Previous liveborn children,Number,1540
Births Outside Marriage/Civil Partnership,2011,Under 20 years,0,Number,1373
Births Outside Marriage/Civil Partnership,2011,Under 20 years,1,Number,148
Births Outside Marriage/Civil Partnership,2011,Under 20 years,2,Number,15
Births Outside Marriage/Civil Partnership,2011,Under 20 years,3,Number,2
Births Outside Marriage/Civil Partnership,2011,Under 20 years,4,Number,
Births Outside Marriage/Civil Partnership,2011,Under 20 years,5,Number,
Births Outside Marriage/Civil Partnership,2011,Under 20 years,6,Number,
Births Outside Marriage/Civil Partnership,2011,Under 20 years,7,Number,
Births Outside Marriage/Civil Partnership,2011,Under 20 years,8,Number,
Births Outside Marriage/Civil Partnership,2011,Under 20 years,9,Number,
Births Outside Marriage/Civil Partnership,2011,Under 20 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2011,Under 20 years,Not stated,Number,2
Births Outside Marriage/Civil Partnership,2011,20 - 24 years,Previous liveborn children,Number,5904
Births Outside Marriage/Civil Partnership,2011,20 - 24 years,0,Number,3813
Births Outside Marriage/Civil Partnership,2011,20 - 24 years,1,Number,1652
Births Outside Marriage/Civil Partnership,2011,20 - 24 years,2,Number,328
Births Outside Marriage/Civil Partnership,2011,20 - 24 years,3,Number,65
Births Outside Marriage/Civil Partnership,2011,20 - 24 years,4,Number,17
Births Outside Marriage/Civil Partnership,2011,20 - 24 years,5,Number,3
Births Outside Marriage/Civil Partnership,2011,20 - 24 years,6,Number,1
Births Outside Marriage/Civil Partnership,2011,20 - 24 years,7,Number,
Births Outside Marriage/Civil Partnership,2011,20 - 24 years,8,Number,
Births Outside Marriage/Civil Partnership,2011,20 - 24 years,9,Number,
Births Outside Marriage/Civil Partnership,2011,20 - 24 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2011,20 - 24 years,Not stated,Number,25
Births Outside Marriage/Civil Partnership,2011,25 - 29 years,Previous liveborn children,Number,7892
Births Outside Marriage/Civil Partnership,2011,25 - 29 years,0,Number,3791
Births Outside Marriage/Civil Partnership,2011,25 - 29 years,1,Number,2668
Births Outside Marriage/Civil Partnership,2011,25 - 29 years,2,Number,997
Births Outside Marriage/Civil Partnership,2011,25 - 29 years,3,Number,296
Births Outside Marriage/Civil Partnership,2011,25 - 29 years,4,Number,80
Births Outside Marriage/Civil Partnership,2011,25 - 29 years,5,Number,21
Births Outside Marriage/Civil Partnership,2011,25 - 29 years,6,Number,6
Births Outside Marriage/Civil Partnership,2011,25 - 29 years,7,Number,2
Births Outside Marriage/Civil Partnership,2011,25 - 29 years,8,Number,
Births Outside Marriage/Civil Partnership,2011,25 - 29 years,9,Number,
Births Outside Marriage/Civil Partnership,2011,25 - 29 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2011,25 - 29 years,Not stated,Number,31
Births Outside Marriage/Civil Partnership,2011,30 - 34 years,Previous liveborn children,Number,5956
Births Outside Marriage/Civil Partnership,2011,30 - 34 years,0,Number,2399
Births Outside Marriage/Civil Partnership,2011,30 - 34 years,1,Number,1976
Births Outside Marriage/Civil Partnership,2011,30 - 34 years,2,Number,932
Births Outside Marriage/Civil Partnership,2011,30 - 34 years,3,Number,375
Births Outside Marriage/Civil Partnership,2011,30 - 34 years,4,Number,151
Births Outside Marriage/Civil Partnership,2011,30 - 34 years,5,Number,60
Births Outside Marriage/Civil Partnership,2011,30 - 34 years,6,Number,22
Births Outside Marriage/Civil Partnership,2011,30 - 34 years,7,Number,7
Births Outside Marriage/Civil Partnership,2011,30 - 34 years,8,Number,5
Births Outside Marriage/Civil Partnership,2011,30 - 34 years,9,Number,3
Births Outside Marriage/Civil Partnership,2011,30 - 34 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2011,30 - 34 years,Not stated,Number,26
Births Outside Marriage/Civil Partnership,2011,35 - 39 years,Previous liveborn children,Number,2992
Births Outside Marriage/Civil Partnership,2011,35 - 39 years,0,Number,1079
Births Outside Marriage/Civil Partnership,2011,35 - 39 years,1,Number,922
Births Outside Marriage/Civil Partnership,2011,35 - 39 years,2,Number,526
Births Outside Marriage/Civil Partnership,2011,35 - 39 years,3,Number,254
Births Outside Marriage/Civil Partnership,2011,35 - 39 years,4,Number,100
Births Outside Marriage/Civil Partnership,2011,35 - 39 years,5,Number,56
Births Outside Marriage/Civil Partnership,2011,35 - 39 years,6,Number,17
Births Outside Marriage/Civil Partnership,2011,35 - 39 years,7,Number,11
Births Outside Marriage/Civil Partnership,2011,35 - 39 years,8,Number,5
Births Outside Marriage/Civil Partnership,2011,35 - 39 years,9,Number,1
Births Outside Marriage/Civil Partnership,2011,35 - 39 years,10 or more,Number,1
Births Outside Marriage/Civil Partnership,2011,35 - 39 years,Not stated,Number,20
Births Outside Marriage/Civil Partnership,2011,40 - 44 years,Previous liveborn children,Number,775
Births Outside Marriage/Civil Partnership,2011,40 - 44 years,0,Number,260
Births Outside Marriage/Civil Partnership,2011,40 - 44 years,1,Number,219
Births Outside Marriage/Civil Partnership,2011,40 - 44 years,2,Number,152
Births Outside Marriage/Civil Partnership,2011,40 - 44 years,3,Number,72
Births Outside Marriage/Civil Partnership,2011,40 - 44 years,4,Number,36
Births Outside Marriage/Civil Partnership,2011,40 - 44 years,5,Number,21
Births Outside Marriage/Civil Partnership,2011,40 - 44 years,6,Number,3
Births Outside Marriage/Civil Partnership,2011,40 - 44 years,7,Number,5
Births Outside Marriage/Civil Partnership,2011,40 - 44 years,8,Number,2
Births Outside Marriage/Civil Partnership,2011,40 - 44 years,9,Number,
Births Outside Marriage/Civil Partnership,2011,40 - 44 years,10 or more,Number,1
Births Outside Marriage/Civil Partnership,2011,40 - 44 years,Not stated,Number,4
Births Outside Marriage/Civil Partnership,2011,45 years and over,Previous liveborn children,Number,28
Births Outside Marriage/Civil Partnership,2011,45 years and over,0,Number,14
Births Outside Marriage/Civil Partnership,2011,45 years and over,1,Number,4
Births Outside Marriage/Civil Partnership,2011,45 years and over,2,Number,5
Births Outside Marriage/Civil Partnership,2011,45 years and over,3,Number,2
Births Outside Marriage/Civil Partnership,2011,45 years and over,4,Number,1
Births Outside Marriage/Civil Partnership,2011,45 years and over,5,Number,
Births Outside Marriage/Civil Partnership,2011,45 years and over,6,Number,1
Births Outside Marriage/Civil Partnership,2011,45 years and over,7,Number,
Births Outside Marriage/Civil Partnership,2011,45 years and over,8,Number,1
Births Outside Marriage/Civil Partnership,2011,45 years and over,9,Number,
Births Outside Marriage/Civil Partnership,2011,45 years and over,10 or more,Number,
Births Outside Marriage/Civil Partnership,2011,45 years and over,Not stated,Number,
Births Outside Marriage/Civil Partnership,2011,Age not stated,Previous liveborn children,Number,4
Births Outside Marriage/Civil Partnership,2011,Age not stated,0,Number,3
Births Outside Marriage/Civil Partnership,2011,Age not stated,1,Number,1
Births Outside Marriage/Civil Partnership,2011,Age not stated,2,Number,
Births Outside Marriage/Civil Partnership,2011,Age not stated,3,Number,
Births Outside Marriage/Civil Partnership,2011,Age not stated,4,Number,
Births Outside Marriage/Civil Partnership,2011,Age not stated,5,Number,
Births Outside Marriage/Civil Partnership,2011,Age not stated,6,Number,
Births Outside Marriage/Civil Partnership,2011,Age not stated,7,Number,
Births Outside Marriage/Civil Partnership,2011,Age not stated,8,Number,
Births Outside Marriage/Civil Partnership,2011,Age not stated,9,Number,
Births Outside Marriage/Civil Partnership,2011,Age not stated,10 or more,Number,
Births Outside Marriage/Civil Partnership,2011,Age not stated,Not stated,Number,
Births Outside Marriage/Civil Partnership,2011,All ages,Previous liveborn children,Number,25091
Births Outside Marriage/Civil Partnership,2011,All ages,0,Number,12732
Births Outside Marriage/Civil Partnership,2011,All ages,1,Number,7590
Births Outside Marriage/Civil Partnership,2011,All ages,2,Number,2955
Births Outside Marriage/Civil Partnership,2011,All ages,3,Number,1066
Births Outside Marriage/Civil Partnership,2011,All ages,4,Number,385
Births Outside Marriage/Civil Partnership,2011,All ages,5,Number,161
Births Outside Marriage/Civil Partnership,2011,All ages,6,Number,50
Births Outside Marriage/Civil Partnership,2011,All ages,7,Number,25
Births Outside Marriage/Civil Partnership,2011,All ages,8,Number,13
Births Outside Marriage/Civil Partnership,2011,All ages,9,Number,4
Births Outside Marriage/Civil Partnership,2011,All ages,10 or more,Number,2
Births Outside Marriage/Civil Partnership,2011,All ages,Not stated,Number,108
Births Outside Marriage/Civil Partnership,2012,16 years,Previous liveborn children,Number,94
Births Outside Marriage/Civil Partnership,2012,16 years,0,Number,91
Births Outside Marriage/Civil Partnership,2012,16 years,1,Number,3
Births Outside Marriage/Civil Partnership,2012,16 years,2,Number,
Births Outside Marriage/Civil Partnership,2012,16 years,3,Number,
Births Outside Marriage/Civil Partnership,2012,16 years,4,Number,
Births Outside Marriage/Civil Partnership,2012,16 years,5,Number,
Births Outside Marriage/Civil Partnership,2012,16 years,6,Number,
Births Outside Marriage/Civil Partnership,2012,16 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,16 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,16 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,16 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,16 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2012,17 years,Previous liveborn children,Number,213
Births Outside Marriage/Civil Partnership,2012,17 years,0,Number,201
Births Outside Marriage/Civil Partnership,2012,17 years,1,Number,12
Births Outside Marriage/Civil Partnership,2012,17 years,2,Number,
Births Outside Marriage/Civil Partnership,2012,17 years,3,Number,
Births Outside Marriage/Civil Partnership,2012,17 years,4,Number,
Births Outside Marriage/Civil Partnership,2012,17 years,5,Number,
Births Outside Marriage/Civil Partnership,2012,17 years,6,Number,
Births Outside Marriage/Civil Partnership,2012,17 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,17 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,17 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,17 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,17 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2012,18 years,Previous liveborn children,Number,425
Births Outside Marriage/Civil Partnership,2012,18 years,0,Number,375
Births Outside Marriage/Civil Partnership,2012,18 years,1,Number,45
Births Outside Marriage/Civil Partnership,2012,18 years,2,Number,3
Births Outside Marriage/Civil Partnership,2012,18 years,3,Number,1
Births Outside Marriage/Civil Partnership,2012,18 years,4,Number,
Births Outside Marriage/Civil Partnership,2012,18 years,5,Number,
Births Outside Marriage/Civil Partnership,2012,18 years,6,Number,
Births Outside Marriage/Civil Partnership,2012,18 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,18 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,18 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,18 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,18 years,Not stated,Number,1
Births Outside Marriage/Civil Partnership,2012,19 years,Previous liveborn children,Number,700
Births Outside Marriage/Civil Partnership,2012,19 years,0,Number,594
Births Outside Marriage/Civil Partnership,2012,19 years,1,Number,95
Births Outside Marriage/Civil Partnership,2012,19 years,2,Number,9
Births Outside Marriage/Civil Partnership,2012,19 years,3,Number,1
Births Outside Marriage/Civil Partnership,2012,19 years,4,Number,
Births Outside Marriage/Civil Partnership,2012,19 years,5,Number,
Births Outside Marriage/Civil Partnership,2012,19 years,6,Number,
Births Outside Marriage/Civil Partnership,2012,19 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,19 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,19 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,19 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,19 years,Not stated,Number,1
Births Outside Marriage/Civil Partnership,2012,20 years,Previous liveborn children,Number,862
Births Outside Marriage/Civil Partnership,2012,20 years,0,Number,692
Births Outside Marriage/Civil Partnership,2012,20 years,1,Number,153
Births Outside Marriage/Civil Partnership,2012,20 years,2,Number,12
Births Outside Marriage/Civil Partnership,2012,20 years,3,Number,3
Births Outside Marriage/Civil Partnership,2012,20 years,4,Number,1
Births Outside Marriage/Civil Partnership,2012,20 years,5,Number,
Births Outside Marriage/Civil Partnership,2012,20 years,6,Number,
Births Outside Marriage/Civil Partnership,2012,20 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,20 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,20 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,20 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,20 years,Not stated,Number,1
Births Outside Marriage/Civil Partnership,2012,21 years,Previous liveborn children,Number,1001
Births Outside Marriage/Civil Partnership,2012,21 years,0,Number,707
Births Outside Marriage/Civil Partnership,2012,21 years,1,Number,241
Births Outside Marriage/Civil Partnership,2012,21 years,2,Number,40
Births Outside Marriage/Civil Partnership,2012,21 years,3,Number,11
Births Outside Marriage/Civil Partnership,2012,21 years,4,Number,2
Births Outside Marriage/Civil Partnership,2012,21 years,5,Number,
Births Outside Marriage/Civil Partnership,2012,21 years,6,Number,
Births Outside Marriage/Civil Partnership,2012,21 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,21 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,21 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,21 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,21 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2012,22 years,Previous liveborn children,Number,1133
Births Outside Marriage/Civil Partnership,2012,22 years,0,Number,732
Births Outside Marriage/Civil Partnership,2012,22 years,1,Number,302
Births Outside Marriage/Civil Partnership,2012,22 years,2,Number,81
Births Outside Marriage/Civil Partnership,2012,22 years,3,Number,13
Births Outside Marriage/Civil Partnership,2012,22 years,4,Number,1
Births Outside Marriage/Civil Partnership,2012,22 years,5,Number,1
Births Outside Marriage/Civil Partnership,2012,22 years,6,Number,
Births Outside Marriage/Civil Partnership,2012,22 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,22 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,22 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,22 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,22 years,Not stated,Number,3
Births Outside Marriage/Civil Partnership,2012,23 years,Previous liveborn children,Number,1257
Births Outside Marriage/Civil Partnership,2012,23 years,0,Number,756
Births Outside Marriage/Civil Partnership,2012,23 years,1,Number,384
Births Outside Marriage/Civil Partnership,2012,23 years,2,Number,107
Births Outside Marriage/Civil Partnership,2012,23 years,3,Number,8
Births Outside Marriage/Civil Partnership,2012,23 years,4,Number,
Births Outside Marriage/Civil Partnership,2012,23 years,5,Number,1
Births Outside Marriage/Civil Partnership,2012,23 years,6,Number,
Births Outside Marriage/Civil Partnership,2012,23 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,23 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,23 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,23 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,23 years,Not stated,Number,1
Births Outside Marriage/Civil Partnership,2012,24 years,Previous liveborn children,Number,1319
Births Outside Marriage/Civil Partnership,2012,24 years,0,Number,707
Births Outside Marriage/Civil Partnership,2012,24 years,1,Number,463
Births Outside Marriage/Civil Partnership,2012,24 years,2,Number,106
Births Outside Marriage/Civil Partnership,2012,24 years,3,Number,31
Births Outside Marriage/Civil Partnership,2012,24 years,4,Number,8
Births Outside Marriage/Civil Partnership,2012,24 years,5,Number,
Births Outside Marriage/Civil Partnership,2012,24 years,6,Number,1
Births Outside Marriage/Civil Partnership,2012,24 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,24 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,24 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,24 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,24 years,Not stated,Number,3
Births Outside Marriage/Civil Partnership,2012,25 years,Previous liveborn children,Number,1466
Births Outside Marriage/Civil Partnership,2012,25 years,0,Number,764
Births Outside Marriage/Civil Partnership,2012,25 years,1,Number,481
Births Outside Marriage/Civil Partnership,2012,25 years,2,Number,175
Births Outside Marriage/Civil Partnership,2012,25 years,3,Number,30
Births Outside Marriage/Civil Partnership,2012,25 years,4,Number,8
Births Outside Marriage/Civil Partnership,2012,25 years,5,Number,6
Births Outside Marriage/Civil Partnership,2012,25 years,6,Number,
Births Outside Marriage/Civil Partnership,2012,25 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,25 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,25 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,25 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,25 years,Not stated,Number,2
Births Outside Marriage/Civil Partnership,2012,26 years,Previous liveborn children,Number,1561
Births Outside Marriage/Civil Partnership,2012,26 years,0,Number,756
Births Outside Marriage/Civil Partnership,2012,26 years,1,Number,549
Births Outside Marriage/Civil Partnership,2012,26 years,2,Number,176
Births Outside Marriage/Civil Partnership,2012,26 years,3,Number,53
Births Outside Marriage/Civil Partnership,2012,26 years,4,Number,24
Births Outside Marriage/Civil Partnership,2012,26 years,5,Number,3
Births Outside Marriage/Civil Partnership,2012,26 years,6,Number,
Births Outside Marriage/Civil Partnership,2012,26 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,26 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,26 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,26 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,26 years,Not stated,Number,
Births Outside Marriage/Civil Partnership,2012,27 years,Previous liveborn children,Number,1539
Births Outside Marriage/Civil Partnership,2012,27 years,0,Number,755
Births Outside Marriage/Civil Partnership,2012,27 years,1,Number,526
Births Outside Marriage/Civil Partnership,2012,27 years,2,Number,178
Births Outside Marriage/Civil Partnership,2012,27 years,3,Number,56
Births Outside Marriage/Civil Partnership,2012,27 years,4,Number,13
Births Outside Marriage/Civil Partnership,2012,27 years,5,Number,6
Births Outside Marriage/Civil Partnership,2012,27 years,6,Number,2
Births Outside Marriage/Civil Partnership,2012,27 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,27 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,27 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,27 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,27 years,Not stated,Number,3
Births Outside Marriage/Civil Partnership,2012,28 years,Previous liveborn children,Number,1517
Births Outside Marriage/Civil Partnership,2012,28 years,0,Number,683
Births Outside Marriage/Civil Partnership,2012,28 years,1,Number,543
Births Outside Marriage/Civil Partnership,2012,28 years,2,Number,204
Births Outside Marriage/Civil Partnership,2012,28 years,3,Number,64
Births Outside Marriage/Civil Partnership,2012,28 years,4,Number,16
Births Outside Marriage/Civil Partnership,2012,28 years,5,Number,2
Births Outside Marriage/Civil Partnership,2012,28 years,6,Number,2
Births Outside Marriage/Civil Partnership,2012,28 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,28 years,8,Number,1
Births Outside Marriage/Civil Partnership,2012,28 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,28 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,28 years,Not stated,Number,2
Births Outside Marriage/Civil Partnership,2012,29 years,Previous liveborn children,Number,1510
Births Outside Marriage/Civil Partnership,2012,29 years,0,Number,643
Births Outside Marriage/Civil Partnership,2012,29 years,1,Number,546
Births Outside Marriage/Civil Partnership,2012,29 years,2,Number,213
Births Outside Marriage/Civil Partnership,2012,29 years,3,Number,66
Births Outside Marriage/Civil Partnership,2012,29 years,4,Number,21
Births Outside Marriage/Civil Partnership,2012,29 years,5,Number,9
Births Outside Marriage/Civil Partnership,2012,29 years,6,Number,5
Births Outside Marriage/Civil Partnership,2012,29 years,7,Number,2
Births Outside Marriage/Civil Partnership,2012,29 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,29 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,29 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,29 years,Not stated,Number,5
Births Outside Marriage/Civil Partnership,2012,30 years,Previous liveborn children,Number,1456
Births Outside Marriage/Civil Partnership,2012,30 years,0,Number,615
Births Outside Marriage/Civil Partnership,2012,30 years,1,Number,488
Births Outside Marriage/Civil Partnership,2012,30 years,2,Number,231
Births Outside Marriage/Civil Partnership,2012,30 years,3,Number,73
Births Outside Marriage/Civil Partnership,2012,30 years,4,Number,28
Births Outside Marriage/Civil Partnership,2012,30 years,5,Number,10
Births Outside Marriage/Civil Partnership,2012,30 years,6,Number,4
Births Outside Marriage/Civil Partnership,2012,30 years,7,Number,2
Births Outside Marriage/Civil Partnership,2012,30 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,30 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,30 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,30 years,Not stated,Number,5
Births Outside Marriage/Civil Partnership,2012,31 years,Previous liveborn children,Number,1448
Births Outside Marriage/Civil Partnership,2012,31 years,0,Number,623
Births Outside Marriage/Civil Partnership,2012,31 years,1,Number,494
Births Outside Marriage/Civil Partnership,2012,31 years,2,Number,210
Births Outside Marriage/Civil Partnership,2012,31 years,3,Number,75
Births Outside Marriage/Civil Partnership,2012,31 years,4,Number,26
Births Outside Marriage/Civil Partnership,2012,31 years,5,Number,15
Births Outside Marriage/Civil Partnership,2012,31 years,6,Number,1
Births Outside Marriage/Civil Partnership,2012,31 years,7,Number,1
Births Outside Marriage/Civil Partnership,2012,31 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,31 years,9,Number,1
Births Outside Marriage/Civil Partnership,2012,31 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,31 years,Not stated,Number,2
Births Outside Marriage/Civil Partnership,2012,32 years,Previous liveborn children,Number,1289
Births Outside Marriage/Civil Partnership,2012,32 years,0,Number,523
Births Outside Marriage/Civil Partnership,2012,32 years,1,Number,433
Births Outside Marriage/Civil Partnership,2012,32 years,2,Number,197
Births Outside Marriage/Civil Partnership,2012,32 years,3,Number,82
Births Outside Marriage/Civil Partnership,2012,32 years,4,Number,26
Births Outside Marriage/Civil Partnership,2012,32 years,5,Number,9
Births Outside Marriage/Civil Partnership,2012,32 years,6,Number,6
Births Outside Marriage/Civil Partnership,2012,32 years,7,Number,7
Births Outside Marriage/Civil Partnership,2012,32 years,8,Number,2
Births Outside Marriage/Civil Partnership,2012,32 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,32 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,32 years,Not stated,Number,4
Births Outside Marriage/Civil Partnership,2012,33 years,Previous liveborn children,Number,1137
Births Outside Marriage/Civil Partnership,2012,33 years,0,Number,450
Births Outside Marriage/Civil Partnership,2012,33 years,1,Number,377
Births Outside Marriage/Civil Partnership,2012,33 years,2,Number,203
Births Outside Marriage/Civil Partnership,2012,33 years,3,Number,62
Births Outside Marriage/Civil Partnership,2012,33 years,4,Number,25
Births Outside Marriage/Civil Partnership,2012,33 years,5,Number,13
Births Outside Marriage/Civil Partnership,2012,33 years,6,Number,3
Births Outside Marriage/Civil Partnership,2012,33 years,7,Number,1
Births Outside Marriage/Civil Partnership,2012,33 years,8,Number,1
Births Outside Marriage/Civil Partnership,2012,33 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,33 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,33 years,Not stated,Number,2
Births Outside Marriage/Civil Partnership,2012,34 years,Previous liveborn children,Number,984
Births Outside Marriage/Civil Partnership,2012,34 years,0,Number,366
Births Outside Marriage/Civil Partnership,2012,34 years,1,Number,322
Births Outside Marriage/Civil Partnership,2012,34 years,2,Number,173
Births Outside Marriage/Civil Partnership,2012,34 years,3,Number,65
Births Outside Marriage/Civil Partnership,2012,34 years,4,Number,37
Births Outside Marriage/Civil Partnership,2012,34 years,5,Number,14
Births Outside Marriage/Civil Partnership,2012,34 years,6,Number,3
Births Outside Marriage/Civil Partnership,2012,34 years,7,Number,
Births Outside Marriage/Civil Partnership,2012,34 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,34 years,9,Number,1
Births Outside Marriage/Civil Partnership,2012,34 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,34 years,Not stated,Number,3
Births Outside Marriage/Civil Partnership,2012,35 years,Previous liveborn children,Number,848
Births Outside Marriage/Civil Partnership,2012,35 years,0,Number,310
Births Outside Marriage/Civil Partnership,2012,35 years,1,Number,287
Births Outside Marriage/Civil Partnership,2012,35 years,2,Number,154
Births Outside Marriage/Civil Partnership,2012,35 years,3,Number,50
Births Outside Marriage/Civil Partnership,2012,35 years,4,Number,21
Births Outside Marriage/Civil Partnership,2012,35 years,5,Number,14
Births Outside Marriage/Civil Partnership,2012,35 years,6,Number,6
Births Outside Marriage/Civil Partnership,2012,35 years,7,Number,3
Births Outside Marriage/Civil Partnership,2012,35 years,8,Number,
Births Outside Marriage/Civil Partnership,2012,35 years,9,Number,
Births Outside Marriage/Civil Partnership,2012,35 years,10 or more,Number,
Births Outside Marriage/Civil Partnership,2012,35 years,Not stated,Number,3
Births Outside Marriage/Civil Partnership,2012,36 years,Previous liveborn children,Number,824
Births Outside Marriage/Civil Partnership,2012,36 years,0,Number,293
Births Outside Marriage/Civil Partnership,2012,36 years,1,Number,250
Births Outside Marriage/Civil Partnership,2012,36 years,2,Number,147
Births Outside Marriage/Civil Partnership,2012,36 years,3,Number,86
Births Outside Marriage/Civil Partnership,2012,36 years,4,Number,29
Births Outside Marriage/Civil Partnership,2012,36 years,5,Number,9
Births Outside Marriage/Civil Partnership,2012,36 years,6,Number,4
