Statistic,Year,Age of Mother at Maternity,Previous Liveborn Children,UNIT,VALUE
Total Births,2008,41 years,7,Number,3
Total Births,2008,41 years,8,Number,1
Total Births,2008,41 years,9,Number,
Total Births,2008,41 years,10 or more,Number,1
Total Births,2008,41 years,Not stated,Number,8
Total Births,2008,42 years,Previous liveborn children,Number,507
Total Births,2008,42 years,0,Number,98
Total Births,2008,42 years,1,Number,150
Total Births,2008,42 years,2,Number,100
Total Births,2008,42 years,3,Number,83
Total Births,2008,42 years,4,Number,34
Total Births,2008,42 years,5,Number,23
Total Births,2008,42 years,6,Number,12
Total Births,2008,42 years,7,Number,1
Total Births,2008,42 years,8,Number,2
Total Births,2008,42 years,9,Number,2
Total Births,2008,42 years,10 or more,Number,1
Total Births,2008,42 years,Not stated,Number,1
Total Births,2008,43 years,Previous liveborn children,Number,266
Total Births,2008,43 years,0,Number,54
Total Births,2008,43 years,1,Number,77
Total Births,2008,43 years,2,Number,48
Total Births,2008,43 years,3,Number,39
Total Births,2008,43 years,4,Number,22
Total Births,2008,43 years,5,Number,8
Total Births,2008,43 years,6,Number,6
Total Births,2008,43 years,7,Number,5
Total Births,2008,43 years,8,Number,3
Total Births,2008,43 years,9,Number,1
Total Births,2008,43 years,10 or more,Number,
Total Births,2008,43 years,Not stated,Number,3
Total Births,2008,44 years,Previous liveborn children,Number,136
Total Births,2008,44 years,0,Number,32
Total Births,2008,44 years,1,Number,42
Total Births,2008,44 years,2,Number,17
Total Births,2008,44 years,3,Number,18
Total Births,2008,44 years,4,Number,12
Total Births,2008,44 years,5,Number,7
Total Births,2008,44 years,6,Number,4
Total Births,2008,44 years,7,Number,1
Total Births,2008,44 years,8,Number,
Total Births,2008,44 years,9,Number,1
Total Births,2008,44 years,10 or more,Number,
Total Births,2008,44 years,Not stated,Number,2
Total Births,2008,15 years and under,Previous liveborn children,Number,44
Total Births,2008,15 years and under,0,Number,42
Total Births,2008,15 years and under,1,Number,2
Total Births,2008,15 years and under,2,Number,
Total Births,2008,15 years and under,3,Number,
Total Births,2008,15 years and under,4,Number,
Total Births,2008,15 years and under,5,Number,
Total Births,2008,15 years and under,6,Number,
Total Births,2008,15 years and under,7,Number,
Total Births,2008,15 years and under,8,Number,
Total Births,2008,15 years and under,9,Number,
Total Births,2008,15 years and under,10 or more,Number,
Total Births,2008,15 years and under,Not stated,Number,
Total Births,2008,Under 20 years,Previous liveborn children,Number,2402
Total Births,2008,Under 20 years,0,Number,2165
Total Births,2008,Under 20 years,1,Number,212
Total Births,2008,Under 20 years,2,Number,14
Total Births,2008,Under 20 years,3,Number,3
Total Births,2008,Under 20 years,4,Number,
Total Births,2008,Under 20 years,5,Number,
Total Births,2008,Under 20 years,6,Number,
Total Births,2008,Under 20 years,7,Number,
Total Births,2008,Under 20 years,8,Number,
Total Births,2008,Under 20 years,9,Number,
Total Births,2008,Under 20 years,10 or more,Number,
Total Births,2008,Under 20 years,Not stated,Number,8
Total Births,2008,20 - 24 years,Previous liveborn children,Number,9283
Total Births,2008,20 - 24 years,0,Number,6141
Total Births,2008,20 - 24 years,1,Number,2312
Total Births,2008,20 - 24 years,2,Number,625
Total Births,2008,20 - 24 years,3,Number,126
Total Births,2008,20 - 24 years,4,Number,27
Total Births,2008,20 - 24 years,5,Number,7
Total Births,2008,20 - 24 years,6,Number,2
Total Births,2008,20 - 24 years,7,Number,
Total Births,2008,20 - 24 years,8,Number,
Total Births,2008,20 - 24 years,9,Number,
Total Births,2008,20 - 24 years,10 or more,Number,
Total Births,2008,20 - 24 years,Not stated,Number,43
Total Births,2008,25 - 29 years,Previous liveborn children,Number,17876
Total Births,2008,25 - 29 years,0,Number,8975
Total Births,2008,25 - 29 years,1,Number,5686
Total Births,2008,25 - 29 years,2,Number,2098
Total Births,2008,25 - 29 years,3,Number,689
Total Births,2008,25 - 29 years,4,Number,237
Total Births,2008,25 - 29 years,5,Number,60
Total Births,2008,25 - 29 years,6,Number,23
Total Births,2008,25 - 29 years,7,Number,4
Total Births,2008,25 - 29 years,8,Number,1
